preprocess,feature_selection,percentage_selection,depth,f1_scores(mean),accuracy(mean),precision(mean),recall(mean),roc_auc(mean)
 standardize, ANOVA, 0.7, 20, 0.9368327747204745, 0.9939103209271396, 0.9439838295035198, 0.9298181818181819, 0.9658225846057735
 standardize, ANOVA, 0.7, None, 0.9380701551296738, 0.9940162281996224, 0.9427613306767133, 0.9334545454545454, 0.9674395876027285
 standardize, ANOVA, 0.8, 2, 0.48709792289805715, 0.9664448381187665, 0.9423831880553448, 0.3287272727272727, 0.6644512353061923
 standardize, ANOVA, 0.8, 5, 0.8052839478280358, 0.9824369515461999, 0.8723652920511163, 0.748, 0.9369043438190745
 standardize, ANOVA, 0.8, 10, 0.9296151972167224, 0.993486698068698, 0.9771305925520046, 0.8865454545454545, 0.9831266557895176
 standardize, ANOVA, 0.8, 20, 0.935330362004407, 0.9937691107112053, 0.9428076633584175, 0.9279999999999999, 0.9646144295506597
 standardize, ANOVA, 0.8, None, 0.9352031126727404, 0.9937338093256258, 0.9392022608899436, 0.9312727272727273, 0.9660756375481068
 standardize, ANOVA, 0.9, 2, 0.48709792289805715, 0.9664448381187665, 0.9423831880553448, 0.3287272727272727, 0.6644512353061923
 standardize, ANOVA, 0.9, 5, 0.8055198445594334, 0.9824546022389896, 0.8724136012298602, 0.7483636363636365, 0.9372748609746766
 standardize, ANOVA, 0.9, 10, 0.9305344326254683, 0.9935749453011573, 0.9787705750477507, 0.8869090909090909, 0.9839699572933893
 standardize, ANOVA, 0.9, 20, 0.9366643480173089, 0.9938926702343499, 0.9432754657703063, 0.9301818181818182, 0.9663936952747385
 standardize, ANOVA, 0.9, None, 0.9361792835953665, 0.993822065905319, 0.9397257930578279, 0.9327272727272728, 0.9669929095117753
